MCS	Replica	Neigh	Numero_ag	Tamaño_ag
1600	R3	0.908571429	139	11.6
1800	R3	0.914285714	136	11.8
2000	R3	0.928571429	136	14
2200	R3	0.935714286	128	15
2400	R3	0.94	128	14.8
2600	R3	0.942857143	125	16
2800	R3	0.947142857	123	16.6
3000	R3	0.948571429	125	15.8
3200	R3	0.947142857	125	16.6
3400	R3	0.95	115	18.6
3600	R3	0.95	120	19.8
3800	R3	0.948571429	116	21.2
4000	R3	0.948571429	115	21.4
4200	R3	0.95	110	23.6
4400	R3	0.948571429	113	22.2
4600	R3	0.948571429	111	19.8
4800	R3	0.951428571	104	21.8
5000	R3	0.951428571	109	19.6
5200	R3	0.952857143	111	18.8
5400	R3	0.955714286	109	21.6
5600	R3	0.957142857	108	20.4
5800	R3	0.958571429	105	19.2
6000	R3	0.958571429	103	21.4
6200	R3	0.958571429	103	25.8
6400	R3	0.958571429	100	25.4
6600	R3	0.957142857	95	26
6800	R3	0.958571429	99	25.6
7000	R3	0.96	96	25.4
7200	R3	0.96	99	25
7400	R3	0.96	96	22.2
7600	R3	0.958571429	99	22.6
7800	R3	0.96	101	20.4
8000	R3	0.957142857	98	20.6
8200	R3	0.96	102	21.2
8400	R3	0.96	101	23.8
8600	R3	0.961428571	102	22.6
8800	R3	0.962857143	100	22
9000	R3	0.961428571	96	23.4
9200	R3	0.962857143	95	23.4
9400	R3	0.96	94	23
9600	R3	0.962857143	96	22.2
9800	R3	0.962857143	96	21
10000	R3	0.96	100	20
0	R4	0.48	127	7
200	R4	0.761428571	160	10.6
400	R4	0.811428571	158	13
600	R4	0.838571429	154	16.4
800	R4	0.867142857	154	16.4
1000	R4	0.881428571	153	16
1200	R4	0.891428571	148	20.2
1400	R4	0.904285714	143	21
1600	R4	0.915714286	141	19
1800	R4	0.917142857	145	18
2000	R4	0.917142857	137	18
2200	R4	0.918571429	134	17.8
2400	R4	0.922857143	129	20
2600	R4	0.927142857	129	20
2800	R4	0.928571429	121	20
3000	R4	0.925714286	120	20.8
3200	R4	0.928571429	125	19.4
3400	R4	0.935714286	121	18.4
3600	R4	0.935714286	118	18
3800	R4	0.935714286	117	20.4
4000	R4	0.94	115	21.4
4200	R4	0.942857143	113	20.8
4400	R4	0.942857143	119	19.4
4600	R4	0.94	114	22
4800	R4	0.938571429	112	21.4
5000	R4	0.94	111	22
5200	R4	0.941428571	108	20.8
5400	R4	0.941428571	104	22
5600	R4	0.942857143	102	24.6
5800	R4	0.945714286	102	20.6
6000	R4	0.945714286	100	20.6
6200	R4	0.944285714	100	20.6
6400	R4	0.944285714	98	20.2
6600	R4	0.947142857	95	24.6
6800	R4	0.947142857	95	26.8
7000	R4	0.945714286	94	26
7200	R4	0.945714286	89	31.8
7400	R4	0.947142857	90	30.2
7600	R4	0.948571429	90	26.6
7800	R4	0.945714286	90	23.2
8000	R4	0.951428571	86	25
8200	R4	0.951428571	84	26.8
8400	R4	0.952857143	87	24
8600	R4	0.951428571	89	24.6
8800	R4	0.951428571	82	23.8
9000	R4	0.952857143	90	24
9200	R4	0.951428571	84	28.2
9400	R4	0.955714286	78	28.4
9600	R4	0.955714286	78	27.6
9800	R4	0.955714286	77	27
10000	R4	0.954285714	79	27.8
0	R5	0.482857143	128	8
200	R5	0.791428571	164	12.2
400	R5	0.835714286	159	12.4
600	R5	0.865714286	155	14.6
800	R5	0.884285714	153	15.4
1000	R5	0.9	150	16.2
1200	R5	0.912857143	147	17.4
1400	R5	0.915714286	143	17.6
1600	R5	0.918571429	140	17.6
1800	R5	0.925714286	133	19.4
2000	R5	0.928571429	128	20.4
2200	R5	0.932857143	130	20.2
2400	R5	0.941428571	127	22.8
2600	R5	0.941428571	120	22.4
2800	R5	0.942857143	121	21.4
3000	R5	0.945714286	119	22
3200	R5	0.947142857	112	19.6
3400	R5	0.952857143	110	20
3600	R5	0.954285714	100	26.4
3800	R5	0.954285714	99	25.4
4000	R5	0.954285714	98	25.6
4200	R5	0.955714286	99	23.8
4400	R5	0.957142857	99	24.4
4600	R5	0.958571429	99	24.8
4800	R5	0.957142857	99	22.6
5000	R5	0.958571429	100	24
5200	R5	0.958571429	95	27.2
5400	R5	0.958571429	92	27.4
5600	R5	0.96	91	30.2
5800	R5	0.96	92	28.6
6000	R5	0.958571429	94	25.2
6200	R5	0.958571429	93	28.2
6400	R5	0.961428571	94	21.8
6600	R5	0.961428571	97	24.2
6800	R5	0.961428571	96	24.6
7000	R5	0.957142857	95	24.8
7200	R5	0.958571429	97	28.6
7400	R5	0.958571429	95	28
7600	R5	0.957142857	93	27.4
7800	R5	0.955714286	92	25
8000	R5	0.961428571	88	26
8200	R5	0.961428571	90	25.2
